params,score,model_time,accuracy_train,accuracy_val,accuracy_test,f1_score,recall,auc,fpr,tpr,model_path
"{'n_codebooks': 30, 'lrate': 0.1, 'epochs': 100}",,140.32629537582397,0.6919727472977819,0.692087018885967,0.6900095602294455,0.6177424108458591,0.6139425893380199,0.6781864743218158,"[np.float64(0.0), np.float64(0.25756964069438837), np.float64(1.0)]","[np.float64(0.0), np.float64(0.6139425893380199), np.float64(1.0)]",./models/lvq/0.pkl
"{'n_codebooks': 50, 'lrate': 0.05, 'epochs': 2}",,4.824263095855713,0.6843911684852211,0.6825245039445375,0.6809273422562141,0.575516693163752,0.5301698886936145,0.6574951179439006,"[np.float64(0.0), np.float64(0.21517965280581347), np.float64(1.0)]","[np.float64(0.0), np.float64(0.5301698886936145), np.float64(1.0)]",./models/lvq/1.pkl
"{'n_codebooks': 5, 'lrate': 0.01, 'epochs': 20}",,5.776160955429077,0.621279647559039,0.610327516136744,0.6261950286806883,0.4410293066476054,0.36145284124194493,0.5850461622439034,"[np.float64(0.0), np.float64(0.19136051675413807), np.float64(1.0)]","[np.float64(0.0), np.float64(0.36145284124194493), np.float64(1.0)]",./models/lvq/2.pkl
"{'n_codebooks': 5, 'lrate': 0.05, 'epochs': 50}",,14.294660091400146,0.5958711131601865,0.5916806120009562,0.5972753346080306,0.4659270998415214,0.4305799648506151,0.5713658806893366,"[np.float64(0.0), np.float64(0.28784820347194184), np.float64(1.0)]","[np.float64(0.0), np.float64(0.4305799648506151), np.float64(1.0)]",./models/lvq/3.pkl
"{'n_codebooks': 10, 'lrate': 0.05, 'epochs': 2}",,1.0429387092590332,0.6379283848163516,0.6354291178579966,0.637906309751434,0.4210928544134505,0.322788517867604,0.5889275653528573,"[np.float64(0.0), np.float64(0.1449333871618894), np.float64(1.0)]","[np.float64(0.0), np.float64(0.322788517867604), np.float64(1.0)]",./models/lvq/4.pkl
"{'n_codebooks': 100, 'lrate': 0.01, 'epochs': 2}",,9.301427364349365,0.677731673582296,0.6727229261295721,0.6704110898661568,0.5935750073681109,0.5899238429994141,0.6579009606599815,"[np.float64(0.0), np.float64(0.27412192167945093), np.float64(1.0)]","[np.float64(0.0), np.float64(0.5899238429994141), np.float64(1.0)]",./models/lvq/5.pkl
"{'n_codebooks': 50, 'lrate': 0.1, 'epochs': 100}",,232.2440402507782,0.6970954356846473,0.6916088931388955,0.6962237093690249,0.6312735712213519,0.6373755125951962,0.6870769367578322,"[np.float64(0.0), np.float64(0.26322163907953167), np.float64(1.0)]","[np.float64(0.0), np.float64(0.6373755125951962), np.float64(1.0)]",./models/lvq/6.pkl
"{'n_codebooks': 5, 'lrate': 0.01, 'epochs': 20}",,5.7030348777771,0.5821423082833871,0.5782930910829548,0.5920172084130019,0.0,0.0,0.5,"[np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(1.0)]",./models/lvq/7.pkl
"{'n_codebooks': 30, 'lrate': 0.05, 'epochs': 20}",,28.308485984802246,0.6633369192152041,0.6547932106143916,0.6634799235181644,0.5431537962362103,0.4903339191564148,0.6365678477493821,"[np.float64(0.0), np.float64(0.21719822365765037), np.float64(1.0)]","[np.float64(0.0), np.float64(0.4903339191564148), np.float64(1.0)]",./models/lvq/8.pkl
"{'n_codebooks': 50, 'lrate': 0.1, 'epochs': 2}",,4.7499425411224365,0.6949439065621639,0.685632321300502,0.6864244741873805,0.5863808322824716,0.5448154657293497,0.6644141922914006,"[np.float64(0.0), np.float64(0.21598708114654824), np.float64(1.0)]","[np.float64(0.0), np.float64(0.5448154657293497), np.float64(1.0)]",./models/lvq/9.pkl
"{'n_codebooks': 100, 'lrate': 0.1, 'epochs': 2}",,9.3225257396698,0.7084678039034885,0.6990198422185034,0.6981357552581262,0.6312408759124087,0.6332747510251904,0.6880544122505847,"[np.float64(0.0), np.float64(0.257165926524021), np.float64(1.0)]","[np.float64(0.0), np.float64(0.6332747510251904), np.float64(1.0)]",./models/lvq/10.pkl
"{'n_codebooks': 50, 'lrate': 0.5, 'epochs': 100}",,232.68059468269348,0.5821423082833871,0.5782930910829548,0.5920172084130019,0.0,0.0,0.5,"[np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(1.0)]",./models/lvq/11.pkl
"{'n_codebooks': 50, 'lrate': 0.01, 'epochs': 20}",,47.18443584442139,0.6976077045233339,0.6949557733683959,0.6926386233269598,0.6142771445710857,0.5998828353837141,0.678221595326092,"[np.float64(0.0), np.float64(0.24343964473153007), np.float64(1.0)]","[np.float64(0.0), np.float64(0.5998828353837141), np.float64(1.0)]",./models/lvq/12.pkl
"{'n_codebooks': 30, 'lrate': 0.5, 'epochs': 2}",,2.899721384048462,0.5821423082833871,0.5782930910829548,0.5920172084130019,0.0,0.0,0.5,"[np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(1.0)]",./models/lvq/13.pkl
"{'n_codebooks': 100, 'lrate': 0.05, 'epochs': 100}",,461.41238617897034,0.7116438707033451,0.7083432942863973,0.7100860420650096,0.6501297952119989,0.6602226127709432,0.7023357714641959,"[np.float64(0.0), np.float64(0.2555510698425515), np.float64(1.0)]","[np.float64(0.0), np.float64(0.6602226127709432), np.float64(1.0)]",./models/lvq/14.pkl
"{'n_codebooks': 5, 'lrate': 0.05, 'epochs': 50}",,13.926648378372192,0.6368526202551099,0.6392541238345685,0.6374282982791587,0.500164744645799,0.4446397188049209,0.6074631779329409,"[np.float64(0.0), np.float64(0.22971336293903916), np.float64(1.0)]","[np.float64(0.0), np.float64(0.4446397188049209), np.float64(1.0)]",./models/lvq/15.pkl
"{'n_codebooks': 5, 'lrate': 0.01, 'epochs': 2}",,0.5688750743865967,0.6108293632498335,0.598374372459957,0.6140057361376673,0.4808743169398907,0.4381956649091974,0.5866795845740981,"[np.float64(0.0), np.float64(0.2648364957610012), np.float64(1.0)]","[np.float64(0.0), np.float64(0.4381956649091974), np.float64(1.0)]",./models/lvq/16.pkl
"{'n_codebooks': 5, 'lrate': 0.01, 'epochs': 50}",,13.898750305175781,0.6259925208749552,0.6201290939517093,0.6355162523900574,0.37474374743747435,0.2677211482132396,0.578349875681105,"[np.float64(0.0), np.float64(0.11102139685102948), np.float64(1.0)]","[np.float64(0.0), np.float64(0.2677211482132396), np.float64(1.0)]",./models/lvq/17.pkl
"{'n_codebooks': 50, 'lrate': 0.5, 'epochs': 100}",,222.3993902206421,0.5821423082833871,0.5782930910829548,0.5920172084130019,0.0,0.0,0.5,"[np.float64(0.0), np.float64(1.0)]","[np.float64(0.0), np.float64(1.0)]",./models/lvq/18.pkl
"{'n_codebooks': 100, 'lrate': 0.05, 'epochs': 2}",,8.852991819381714,0.7051892833358947,0.7052354769304328,0.7076959847036329,0.6242703533026114,0.5951962507322789,0.6902101560484165,"[np.float64(0.0), np.float64(0.2147759386354461), np.float64(1.0)]","[np.float64(0.0), np.float64(0.5951962507322789), np.float64(1.0)]",./models/lvq/19.pkl
